Congratulations, your application has been approved.
Unfortunately, we're not able to approve that request at this time.
Great news, your refund has already been issued.
I'm sorry to say that item is permanently out of stock.
Good news, we found an even better rate for you.
I regret to inform you that we can't extend the deadline this time.
Wonderful, everything is confirmed and ready to go.
I'm afraid the warranty on that item expired last month.
Fantastic, that discount has been applied successfully.
Sadly, that promotion ended over the weekend.
Zero, one, two, three, four, five, six, seven, eight, nine.
Your PIN is seven, three, six, zero.
Your PIN is nine, two, one, eight.
Your PIN is five, one, five, six.
Your PIN is nine, one, five, four.
Your PIN is five, two, two, six.
Your PIN is seven, five, two, eight.
Your PIN is nine, five, three, nine.
Your PIN is two, six, four, four.
Your PIN is two, two, zero, nine.
Your PIN is six, nine, zero, two.
Your PIN is nine, five, nine, three.
Your PIN is nine, one, seven, two.
Your PIN is five, one, three, five.
Your PIN is five, two, one, five.
Your PIN is three, one, five, four.
Your PIN is seven, six, two, six.
Your PIN is seven, six, five, eight.
Your PIN is six, one, seven, nine.
Your PIN is three, two, seven, one.
Your PIN is zero, four, zero, five.
Your PIN is four, one, one, five.
Your PIN is two, six, two, one.
Your PIN is eight, one, five, nine.
Your PIN is nine, seven, zero, six.
Your PIN is two, nine, six, two.
Your PIN is zero, one, five, three.
Your PIN is three, six, eight, eight.
Your PIN is four, four, four, three.
Your PIN is one, zero, six, nine.
Your PIN is eight, seven, two, zero.
Your PIN is five, zero, six, one.
Your PIN is one, zero, three, two.
Your PIN is four, one, seven, one.
Your PIN is four, six, seven, seven.
Your PIN is four, one, eight, six.
Your PIN is two, five, six, five.
Your PIN is two, seven, zero, four.
Your PIN is seven, seven, four, three.
Your PIN is four, nine, zero, two.
Your PIN is one, one, five, eight.
Your PIN is six, nine, three, eight.
Your PIN is zero, six, eight, six.
Your PIN is eight, seven, nine, three.
Your PIN is seven, four, one, six.
Your PIN is zero, eight, nine, eight.
Your PIN is nine, nine, two, one.
Your PIN is seven, two, two, three.
Your PIN is three, two, zero, six.
Your PIN is one, six, three, two.
Your PIN is nine, four, five, one.
Your PIN is one, six, eight, six.
Your PIN is eight, five, four, eight.
Your PIN is seven, zero, nine, nine.
Your PIN is eight, six, one, six.
Your PIN is two, two, nine, nine.
Your PIN is nine, one, one, nine.
Your PIN is one, four, eight, five.
Your PIN is six, four, six, seven.
Your PIN is nine, nine, seven, zero.
Your PIN is two, four, six, two.
Your PIN is nine, nine, six, zero.
Your PIN is six, five, three, zero.
Your PIN is seven, four, five, zero.
Your PIN is five, four, four, four.
Your PIN is seven, one, three, two.
Your PIN is four, seven, five, four.
Your PIN is six, nine, one, three.
Your PIN is seven, three, six, seven.
Your PIN is eight, five, zero, eight.
Your PIN is two, one, four, eight.
Your PIN is six, two, eight, nine.
Your PIN is zero, two, three, three.
Your PIN is five, seven, eight, six.
Your PIN is one, zero, three, five.
Your PIN is seven, nine, seven, two.
Your PIN is seven, nine, eight, five.
Your PIN is five, two, four, one.
Your PIN is four, zero, six, zero.
Your PIN is two, nine, three, three.
Your PIN is three, three, four, six.
Your PIN is eight, zero, zero, seven.
Your PIN is two, two, nine, zero.
Your PIN is three, four, nine, four.
Your PIN is four, six, six, five.
Your PIN is seven, four, three, seven.
Your PIN is four, eight, nine, six.
Your PIN is nine, one, zero, eight.
Your PIN is five, eight, nine, nine.
Your PIN is four, four, one, seven.
Your PIN is one, five, four, five.
Your PIN is two, eight, three, zero.
Your PIN is nine, six, five, two.
Your PIN is zero, seven, four, four.
Your PIN is six, six, six, zero.
Your PIN is nine, nine, three, five.
Your PIN is three, eight, seven, five.
Your PIN is eight, four, two, eight.
Your PIN is two, four, one, seven.
Your PIN is two, four, eight, two.
Your PIN is three, four, six, five.
Your PIN is seven, one, seven, zero.
Your PIN is nine, nine, nine, one.
Your PIN is seven, three, eight, one.
Your PIN is six, eight, four, six.
Your PIN is zero, two, two, three.
Your PIN is five, six, nine, seven.
Your PIN is two, five, two, one.
Your PIN is zero, zero, seven, four.
Your PIN is three, two, nine, two.
Your PIN is seven, one, two, nine.
Your PIN is six, six, six, six.
Your PIN is seven, six, zero, zero.
Your PIN is eight, three, five, zero.
Your PIN is five, eight, three, zero.
Your PIN is zero, three, three, five.
Your PIN is four, two, one, six.
Your PIN is eight, nine, four, two.
Your PIN is one, zero, four, four.
Your PIN is seven, eight, nine, eight.
Your PIN is seven, five, three, two.
Your PIN is six, zero, three, three.
Your PIN is two, three, zero, nine.
Your PIN is eight, two, one, five.
Your PIN is zero, six, four, eight.
Your PIN is nine, zero, nine, zero.
Your PIN is one, zero, zero, one.
Your PIN is six, seven, six, one.
Your PIN is eight, four, seven, two.
Your PIN is three, zero, four, six.
Your PIN is one, eight, four, nine.
Your PIN is nine, two, six, one.
Your PIN is eight, nine, one, four.
Your PIN is one, one, seven, three.
Your PIN is nine, three, four, eight.
Your PIN is three, five, six, four.
Your PIN is two, zero, eight, seven.
Your PIN is three, seven, five, three.
Your PIN is zero, zero, one, one.
Your PIN is nine, seven, two, one.
Your PIN is eight, one, one, four.
Your PIN is three, seven, four, four.
Your PIN is seven, zero, one, two.
Your PIN is zero, four, five, five.
Your PIN is zero, two, two, five.
Your PIN is five, seven, nine, four.
Your PIN is one, five, five, two.
Your PIN is one, six, six, seven.
Your PIN is four, six, seven, six.
Your PIN is two, one, two, zero.
Your PIN is two, one, six, nine.
Your PIN is nine, six, five, nine.
Your PIN is zero, two, seven, seven.
Your PIN is one, six, seven, zero.
Your PIN is one, four, five, zero.
Your PIN is eight, nine, nine, three.
Your PIN is five, eight, eight, nine.
Your PIN is one, six, three, seven.
Your PIN is five, six, two, eight.
Your PIN is nine, zero, zero, two.
Your PIN is eight, seven, seven, two.
Your PIN is one, seven, five, three.
Your PIN is five, four, zero, eight.
Your PIN is three, eight, six, six.
Your PIN is three, one, seven, seven.
Your PIN is nine, seven, one, seven.
Your PIN is seven, five, one, seven.
Your PIN is zero, one, six, six.
Your PIN is zero, eight, eight, zero.
Your PIN is one, nine, nine, four.
Your PIN is eight, eight, three, seven.
Your PIN is five, five, zero, three.
Your PIN is seven, five, eight, nine.
Your PIN is nine, seven, five, seven.
Your PIN is one, one, three, zero.
Your PIN is five, five, four, eight.
Your PIN is eight, five, one, zero.
Your PIN is two, seven, two, six.
Your PIN is one, four, nine, three.
Your PIN is three, one, six, three.
Your PIN is seven, three, five, one.
Your PIN is six, zero, nine, one.
Your PIN is seven, seven, nine, eight.
Your PIN is two, seven, zero, eight.
Your PIN is zero, eight, six, nine.
Your PIN is seven, eight, two, nine.
Your PIN is two, two, one, six.
Your PIN is nine, nine, five, eight.
Your PIN is six, six, nine, three.
Your PIN is four, six, five, four.
Your PIN is seven, two, two, six.
Your PIN is nine, eight, four, eight.
Your PIN is five, eight, three, three.
Your PIN is three, nine, four, five.
Your PIN is two, two, eight, eight.
Your PIN is five, one, five, eight.
Your PIN is seven, nine, nine, six.
Your PIN is eight, four, six, zero.
Your PIN is eight, one, zero, six.
Your PIN is two, zero, zero, three.
Your PIN is four, two, four, four.
Your PIN is two, zero, four, three.
Your PIN is eight, zero, five, seven.
Your PIN is one, nine, eight, three.
Your PIN is eight, six, three, eight.
Your PIN is four, zero, six, six.
Your PIN is six, five, eight, zero.
Your PIN is zero, four, three, nine.
Your PIN is seven, three, five, nine.
Your PIN is eight, nine, three, three.
Your PIN is four, seven, two, one.
Your PIN is two, two, eight, one.
Your PIN is six, zero, six, four.
Your PIN is eight, four, two, two.
Your PIN is nine, four, zero, five.
Your PIN is seven, two, zero, two.
Your PIN is five, nine, zero, nine.
Your PIN is four, seven, nine, eight.
Your PIN is eight, two, six, eight.
Your PIN is eight, six, one, five.
Your PIN is three, three, five, five.
Your PIN is five, four, three, nine.
Your PIN is eight, seven, eight, zero.
Your PIN is one, five, seven, three.
Your PIN is nine, nine, three, zero.
Your PIN is five, six, one, six.
Your PIN is four, eight, four, zero.
Your PIN is eight, five, eight, eight.
Your PIN is seven, seven, zero, four.
Your PIN is three, five, eight, one.
Your PIN is one, two, eight, eight.
Your PIN is zero, one, three, three.
Your PIN is six, one, three, eight.
Your PIN is seven, five, zero, one.
Your PIN is eight, one, nine, three.
Your PIN is four, six, six, seven.
Your PIN is six, six, five, zero.
Your PIN is six, one, eight, zero.
Your PIN is nine, one, nine, zero.
Your PIN is one, five, eight, one.
Your PIN is four, four, nine, one.
Your PIN is four, seven, six, six.
Your PIN is zero, seven, two, eight.
Your PIN is three, two, six, eight.
Your PIN is four, two, four, five.
Your PIN is zero, eight, eight, two.
Your PIN is one, zero, zero, nine.
Your PIN is nine, six, eight, eight.
Your PIN is one, four, three, five.
Your PIN is three, six, eight, two.
Your PIN is two, two, three, nine.
Your PIN is four, three, one, two.
Your PIN is four, one, three, nine.
Your PIN is seven, five, five, two.
Your PIN is one, three, five, seven.
Your PIN is seven, five, nine, four.
Your PIN is nine, two, nine, nine.
Your PIN is five, five, six, two.
Your PIN is zero, five, three, three.
Your PIN is six, four, five, two.
Your PIN is five, four, seven, eight.
Your PIN is one, two, nine, one.
Your PIN is four, two, eight, three.
Your PIN is four, one, one, zero.
Your PIN is eight, zero, nine, nine.
Your PIN is six, nine, three, zero.
Your PIN is eight, four, eight, eight.
Your PIN is seven, two, five, six.
Your PIN is three, nine, four, two.
Your PIN is seven, eight, eight, one.
Your PIN is three, nine, two, eight.
Your PIN is two, seven, two, two.
Your PIN is nine, nine, two, seven.
Your PIN is five, zero, three, seven.
Your PIN is three, one, four, five.
Your PIN is three, zero, three, eight.
Your PIN is five, six, seven, seven.
Your PIN is eight, four, four, nine.
Your PIN is eight, nine, two, six.
Your PIN is six, five, nine, one.
Your PIN is eight, four, six, three.
Your PIN is eight, six, five, five.
Your PIN is seven, seven, nine, zero.
Your PIN is eight, two, seven, two.
Your PIN is three, one, eight, four.
Your PIN is three, two, two, two.
Your PIN is five, nine, one, three.
Your PIN is six, five, one, seven.
Your PIN is seven, seven, three, nine.
Your PIN is two, six, zero, three.
Your PIN is zero, two, nine, nine.
Your PIN is two, two, eight, zero.
Your PIN is nine, two, zero, two.
Your PIN is four, two, eight, six.
Your PIN is nine, nine, zero, four.
Your PIN is one, three, seven, nine.
Your PIN is seven, seven, two, three.
Your PIN is six, nine, two, nine.
Your PIN is two, nine, eight, four.
Your PIN is two, five, seven, nine.
Your PIN is nine, one, three, six.
Your PIN is six, two, one, zero.
Your PIN is three, eight, eight, six.
Your PIN is two, nine, one, two.
Your PIN is eight, eight, one, one.
Your PIN is seven, two, nine, eight.
Your PIN is five, zero, eight, six.
Your PIN is three, seven, six, five.
Your PIN is nine, nine, one, six.
Your PIN is two, four, seven, three.
Your PIN is one, four, nine, eight.
Your PIN is six, four, three, zero.
Your PIN is zero, nine, eight, one.
Your PIN is eight, zero, six, three.
Your PIN is five, six, five, one.
Your PIN is two, six, nine, four.
Your PIN is four, eight, six, nine.
Your PIN is seven, two, five, eight.
Your PIN is eight, seven, four, four.
Your PIN is nine, five, six, two.
Your PIN is one, three, seven, two.
Your PIN is one, three, eight, six.
Your PIN is five, eight, nine, zero.
Your PIN is two, six, zero, one.
Your PIN is two, seven, nine, six.
Your PIN is one, one, four, three.
Your PIN is five, one, nine, zero.
Your PIN is six, six, nine, eight.
Your PIN is eight, four, three, zero.
Your PIN is nine, eight, eight, three.
Your PIN is nine, two, zero, five.
Your PIN is three, zero, two, one.
Your PIN is four, six, five, six.
Your PIN is zero, one, one, eight.
Your PIN is four, eight, nine, five.
Your PIN is three, seven, six, nine.
Your PIN is zero, four, two, six.
Your PIN is eight, one, eight, one.
Your PIN is eight, four, eight, nine.
Your PIN is four, seven, six, nine.
Your PIN is seven, three, five, seven.
Your PIN is seven, nine, zero, seven.
Your PIN is one, four, one, six.
Your PIN is three, three, five, six.
Your PIN is five, eight, eight, zero.
Your PIN is four, three, four, one.
Your PIN is six, five, one, eight.
Your PIN is three, seven, three, three.
Your PIN is three, four, three, three.
Your PIN is three, three, nine, five.
Your PIN is two, one, one, one.
Your PIN is seven, nine, zero, eight.
Your PIN is zero, seven, five, nine.
Your PIN is seven, two, eight, four.
Your PIN is six, three, nine, two.
Your PIN is zero, eight, six, seven.
Your PIN is eight, zero, eight, five.
Your PIN is eight, seven, five, zero.
Your PIN is zero, three, six, nine.
Your PIN is one, five, five, nine.
Your PIN is four, two, eight, four.
Your PIN is three, four, seven, nine.
Your PIN is five, five, two, seven.
Your PIN is six, three, six, five.
Your PIN is five, six, four, seven.
Your PIN is two, nine, two, nine.
Your PIN is three, one, four, three.
Your PIN is eight, six, six, three.
Your PIN is two, two, seven, zero.
Your PIN is two, six, seven, two.
Your PIN is eight, eight, five, seven.
Your PIN is four, four, eight, nine.
Your PIN is zero, six, one, two.
Your PIN is zero, three, four, seven.
Your PIN is one, seven, five, four.
Your PIN is four, five, zero, six.
Your PIN is one, five, nine, three.
Your PIN is nine, nine, eight, two.
Your PIN is seven, seven, one, six.
Your PIN is nine, four, seven, two.
Your PIN is two, five, six, nine.
Your PIN is nine, six, one, one.
Your PIN is two, five, three, five.
Your PIN is five, four, four, nine.
Your PIN is six, four, seven, five.
Your PIN is nine, eight, seven, six.
Your PIN is two, two, zero, two.
Your PIN is two, six, one, one.
Your PIN is one, seven, eight, zero.
Your PIN is zero, six, eight, one.
Your PIN is one, four, nine, two.
Your PIN is one, six, four, three.
Your PIN is three, four, seven, two.
Your PIN is two, eight, two, zero.
Your PIN is zero, five, five, seven.
Your PIN is seven, eight, four, eight.
Your PIN is seven, two, eight, two.
Your PIN is nine, nine, seven, nine.
Your PIN is six, eight, eight, four.
Your PIN is five, seven, eight, three.
Your PIN is one, seven, four, five.
Your PIN is six, four, two, four.
Your PIN is zero, zero, eight, two.
Your PIN is zero, seven, seven, four.
Your PIN is zero, six, four, nine.
Your PIN is three, zero, eight, five.
Your PIN is three, six, eight, six.
Your PIN is six, three, two, six.
Your PIN is six, three, four, one.
Your PIN is six, three, eight, nine.
Your PIN is four, four, eight, four.
Your PIN is six, three, one, two.
Your PIN is nine, seven, four, nine.
Your PIN is seven, three, five, zero.
Your PIN is two, zero, eight, zero.
Your PIN is two, one, four, four.
Your PIN is two, seven, zero, three.
Your PIN is one, two, zero, seven.
Your PIN is five, one, two, zero.
Your PIN is four, six, one, eight.
Your PIN is seven, two, three, four.
Your PIN is six, zero, one, three.
Your PIN is six, seven, three, zero.
Your PIN is three, seven, one, eight.
Your PIN is three, seven, six, four.
Your PIN is five, two, zero, eight.
Your PIN is eight, one, four, seven.
Your PIN is four, three, five, zero.
Your PIN is three, one, three, six.
Your PIN is five, zero, two, four.
Your PIN is nine, one, six, three.
Your PIN is zero, zero, nine, seven.
Your PIN is nine, five, zero, zero.
Your PIN is five, two, eight, one.
Your PIN is two, seven, three, five.
Your PIN is eight, five, seven, three.
