After I transfer you, the next representative will already have the notes from our conversation.
Alright, I have your email as ryan dot white at example dot com — is that correct?
Alright, I have your email as sarah dot anderson at example dot com — is that correct?
Alright, I have your email as sarah dot clark at example dot com — is that correct?
Alright, I have your email as sarah dot garcia at example dot com — is that correct?
Alright, I have your email as sarah dot hernandez at example dot com — is that correct?
Alright, I have your email as sarah dot jackson at example dot com — is that correct?
Alright, I have your email as sarah dot jones at example dot com — is that correct?
Alright, I have your email as sarah dot martin at example dot com — is that correct?
Alright, I have your email as sarah dot martinez at example dot com — is that correct?
Alright, I have your email as sarah dot miller at example dot com — is that correct?
Alright, I have your email as sarah dot moore at example dot com — is that correct?
Alright, I have your email as sarah dot rodriguez at example dot com — is that correct?
Alright, I have your email as sarah dot sanchez at example dot com — is that correct?
Alright, I have your email as sarah dot taylor at example dot com — is that correct?
Alright, I have your email as sarah dot thomas at example dot com — is that correct?
Alright, I have your email as sarah dot white at example dot com — is that correct?
Alright, I have your email as stephanie dot brown at example dot com — is that correct?
Alright, I have your email as stephanie dot clark at example dot com — is that correct?
